순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
23,이용규,키움,중견수,16,10,91,0,0,28,0,0,1.0,0,0,0,-
23,전준표,키움,투수,16,3,21,1,0,1,1,1,0.667,0,0,0,-
25,김인범,키움,투수,15,10,53,1,0,1,8,0,0.9,0,0,0,-
25,박윤성,키움,투수,15,0,16 2/3,0,0,0,1,0,1.0,0,0,0,-
25,하영민,키움,투수,15,15,76 2/3,0,0,6,10,1,1.0,0,0,0,-
28,고영우,키움,유격수,14,7,67,1,0,5,20,3,0.962,0,0,0,-
28,김태진,키움,유격수,14,10,95,1,0,16,30,9,0.979,0,0,0,-
28,변상권,키움,좌익수,14,12,93,0,0,26,0,0,1.0,0,0,0,-
28,임병욱,키움,중견수,14,9,75,1,0,20,0,0,0.952,0,0,0,-
28,주성원,키움,우익수,14,9,76,2,0,25,1,1,0.929,0,0,0,-
33,오석주,키움,투수,13,0,13,0,0,0,2,0,1.000,0,0,0,-
33,이용규,키움,우익수,13,10,94,1,0,25,0,0,0.962,0,0,0,-
35,이원석,키움,1루수,12,12,87,2,0,85,4,5,0.978,0,0,0,-
35,장재영,키움,중견수,12,12,97,0,0,18,1,0,1.000,0,0,0,-
37,예진원,키움,중견수,11,1,23,0,0,6,0,0,1.000,0,0,0,-
37,조영건,키움,투수,11,2,22 1/3,1,0,0,2,0,0.667,0,0,0,-
39,김연주,키움,투수,10,0,8 1/3,0,0,0,1,0,1.000,0,0,0,-
39,송성문,키움,2루수,10,10,82 2/3,0,0,17,25,2,1.000,0,0,0,-
39,윤석원,키움,투수,10,0,15,0,0,0,2,0,1.000,0,0,0,-
42,김주형,키움,유격수,9,3,32,1,0,10,11,5,0.955,0,0,0,-
42,박승주,키움,투수,9,0,11 1/3,0,0,0,2,0,1.000,0,0,0,-
42,변상권,키움,우익수,9,5,51 2/3,0,0,18,0,0,1.000,0,0,0,-
42,원성준,키움,중견수,9,9,63,1,0,19,0,0,0.950,0,0,0,-
42,임지열,키움,우익수,9,9,66,0,0,10,0,0,1.000,0,0,0,-
47,김윤하,키움,투수,8,1,15 2/3,1,0,1,0,0,0.500,0,0,0,-
47,김태진,키움,좌익수,8,3,35,0,0,11,0,0,1.000,0,0,0,-
47,임지열,키움,좌익수,8,5,39,0,0,9,0,0,1.000,0,0,0,-
50,고영우,키움,2루수,7,4,37,1,0,12,16,1,0.966,0,0,0,-
50,김동혁,키움,투수,7,0,9 2/3,0,0,0,0,0,-,0,0,0,-
50,이종민,키움,투수,7,7,31,1,0,3,4,0,0.875,0,0,0,-
53,김시앙,키움,포수,6,2,19 1/3,0,0,20,0,0,1.000,0,0,0,-
53,박성빈,키움,포수,6,4,27,0,0,16,1,0,1.000,0,1,0,0.0
53,박수종,키움,우익수,6,0,11,0,0,1,0,0,1.000,0,0,0,-
53,손현기,키움,투수,6,2,14 1/3,0,0,0,0,0,-,0,0,0,-
53,예진원,키움,좌익수,6,1,19,0,0,7,0,0,1.000,0,0,0,-
53,이주형,키움,중견수,6,5,42,0,0,13,0,0,1.000,0,0,0,-
59,김태진,키움,2루수,5,1,16,1,0,5,5,1,0.909,0,0,0,-
59,예진원,키움,우익수,5,1,16 2/3,0,0,9,0,0,1.000,0,0,0,-
61,박수종,키움,좌익수,4,0,4,0,0,1,0,0,1.000,0,0,0,-
61,박준형,키움,포수,4,2,12 1/3,0,0,7,0,1,1.000,1,2,0,0.0
61,임병욱,키움,우익수,4,1,11,0,0,2,0,0,1.000,0,0,0,-
64,이명종,키움,투수,3,0,3 2/3,0,0,0,0,0,-,0,0,0,-
65,김동규,키움,투수,2,0,1/3,0,0,0,0,0,-,0,0,0,-
65,김동욱,키움,투수,2,0,3,0,0,0,0,0,-,0,0,0,-
65,김동헌,키움,포수,2,2,14,1,0,10,0,0,0.909,0,6,0,0.0
65,김병휘,키움,유격수,2,0,3,0,0,0,0,0,-,0,0,0,-
65,김병휘,키움,2루수,2,0,2,0,0,1,1,1,1.000,0,0,0,-
65,김주형,키움,2루수,2,0,3,0,0,0,1,0,1.000,0,0,0,-
65,김태진,키움,우익수,2,0,6,0,0,0,0,0,-,0,0,0,-
65,박주홍,키움,좌익수,2,0,2,0,0,1,0,0,1.000,0,0,0,-
65,양지율,키움,투수,2,0,2 2/3,0,0,0,0,0,-,0,0,0,-
65,이승원,키움,유격수,2,1,9,1,0,3,3,1,0.857,0,0,0,-
65,정찬헌,키움,투수,2,2,7,0,0,0,1,0,1.000,0,0,0,-
65,주성원,키움,좌익수,2,2,16,0,0,5,0,0,1.000,0,0,0,-
77,김주형,키움,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
77,박주홍,키움,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
77,송지후,키움,2루수,1,0,3,0,0,0,0,0,-,0,0,0,-
77,신준우,키움,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
77,원성준,키움,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
